Date,BMY,HSIC,HRB,GE,INCY
2017/8/10,52.15177155,65.61568451,27.36984825,22.94204521,122.1200027
2017/8/11,52.28078842,66.89411926,27.43239975,22.85136795,124.09999850000001
2017/8/14,53.10099029999999,66.38039398,27.9417305,22.99645424,126.27999879999999
2017/8/15,53.33138275,65.85882568,28.1383152,22.79695511,126.3700027
2017/8/16,52.99040222,66.78823853,27.46813965,22.76068306,124.3399963
2017/8/17,52.31764984,66.51372528,26.98561668,22.44330597,121.7399979
2017/8/18,51.99510193,66.46666718,26.61032104,22.26194572,121.1900024
2017/8/21,52.1978569,66.98823547,26.565639500000003,22.20753479,120.8899994
2017/8/22,53.14707184,67.1764679,27.021362300000003,22.30728722,123.8600006
2017/8/23,53.33138275,66.84706116,26.86945152,22.11685371,123.65000149999999
2017/8/24,53.60785675,67.08235168,27.20007324,22.03524399,123.8199997
2017/8/25,53.79217148,67.28235626,26.54777336,22.20753479,121.7600021
2017/8/28,53.98571014,66.50196075,26.45841408,22.18940163,123.54000090000001
2017/8/29,54.24374008,66.05097961,26.11886024,22.162193300000002,124.97000120000001
2017/8/30,54.72296524,66.51764679,23.95643806,22.017105100000002,138.2700043
2017/8/31,55.73669434,68.10980225,23.89388657,22.26194572,137.41000369999998
2017/9/1,55.20217896,68.05097961,23.92069626,22.79695511,138.02999880000002
2017/9/5,55.11923599,67.58823395,23.58114243,22.44330597,135.33999630000002
2017/9/6,55.174522399999994,67.62352753,23.23265266,22.59745979,135.8600006
2017/9/7,57.91159439,68.56078339,22.95564651,21.78133965,134.33999630000002
2017/9/8,57.70885086,68.76078796,23.30413437,21.59998131,129.4600067
2017/9/11,57.80101395,69.63529205,23.3130703,21.50930214,124.9499969
2017/9/12,58.07748413,68.98823547,23.94437599,21.68159103,123.15000149999999
2017/9/13,57.57983398,66.22744751,23.42129517,21.86295128,123.5899963
2017/9/14,57.77336121,63.19607925,23.84516716,21.99897575,119.7600021
2017/9/15,57.57983398,65.00392151,23.34012604,21.92530823,119.15000149999999
2017/9/18,57.78257751,63.45098114,23.4303112,22.41090584,118.40000149999999
2017/9/19,57.99452972,62.07058716,23.59264565,22.17268753,117.0899963
2017/9/20,58.51062393,63.05097961,23.63773918,22.28263474,114.8700027
2017/9/21,58.36316681,62.21176529,23.63773918,22.67661667,115.0500031
2017/9/22,58.39081573,62.4313736,24.12474442,22.78656006,110.84999850000001
2017/9/25,58.23414612,63.01176453,23.63773918,23.00645638,109.6900024
2017/9/26,57.99452972,63.05097961,23.77301788,22.84153366,109.15000149999999
2017/9/27,58.01297379,63.63137436,24.07063103,22.32844734,110.3099976
2017/9/28,58.06826401,63.41960907,24.56665802,22.20933342,113.1399994
2017/9/29,58.74101639,64.30588531,23.88123894,22.15436363,116.7399979
2017/10/2,59.49670792,63.55294037,23.80007553,22.51169586,115.1900024
2017/10/3,59.24787903,63.98431396,23.98044586,22.72242737,112.8000031
2017/10/4,59.66259003,64.10980225,23.17778969,22.42923164,113.83000179999999
