Date,MMC,FIS,CTXS,AJG,ARE
2016/10/28,59.13759613,71.25725555,65.94426727,44.07019043,94.77351379
2016/10/31,59.08166885,70.82606506,66.16272736,43.97900009,97.39329529
2016/11/1,58.58768845,73.63343048,66.31095886,43.45012665,96.97776794
2016/11/2,58.68089676,71.90877533,65.38250732,43.17656708,94.44828796
2016/11/3,59.31467819,71.83213806,65.10942841,43.4683609,92.59635162
2016/11/4,59.55701065,72.26327515,64.9533844,43.2951088,93.04804229999999
2016/11/7,60.66612625,73.29808044,66.72449493,44.28904343,95.78528595
2016/11/8,60.93641281,73.39389801,66.50601959,44.61730957,96.73383331
2016/11/9,62.36243439,73.68132782,67.05997467,45.50181198,98.52253723
2016/11/10,63.19192505,73.82506561,67.66074371,46.68722534,95.69494629
2016/11/11,63.17329788,73.12562561,66.74788666,46.99726486,94.36698914
2016/11/14,63.01486588,72.04290771,65.17964935,47.52613831,95.97498322
2016/11/15,63.12670898,71.611763,67.13800049,46.56868744,96.30020142
2016/11/16,63.09874344,71.95668793,67.62174225,46.37719727,96.5712204
2016/11/17,64.37562561,72.69445801,68.64382935,47.07932281,96.94161224
2016/11/18,64.52475739,73.89213562,67.73877716,46.97903061,97.02291107
2016/11/21,64.50610352,74.28497314,68.64382935,46.86959076,98.06179047
2016/11/22,64.68318939,74.39037323,68.98713684,46.67811203,100.33831020000001
2016/11/23,64.73912811,75.6934433,68.40976715,47.10668182,99.93180084
2016/11/25,65.02805328,75.46349335,68.90130615,47.28905869,101.1423187
2016/11/28,64.22650146,75.37726593,68.23812103,46.70545959,101.2868729
2016/11/29,64.29174042,75.59763336,68.61262512,46.73282242,100.925499
2016/11/30,64.59932709,73.95921326,67.66854858,46.25511932,99.00131226
2016/12/1,64.21718597,72.56030273,66.68548584,45.68553162,96.80610657
2016/12/2,63.74184418,71.86087036,66.80251312,45.16189575,98.41413116
2016/12/5,64.02146149,72.12915802,69.43185425,45.30887604,99.43492889
2016/12/6,64.10532379,72.34953308,68.36294556,45.76822281,100.27508540000001
2016/12/7,64.71116638,72.45493317,69.5020752,46.33779526,100.27508540000001
2016/12/8,64.61795044,71.97583771,70.21987152,46.07138443,99.93180084
2016/12/9,64.7484436,72.39743042,69.68932343,46.63177109,99.29942322
2016/12/12,64.73912811,72.60821533,69.33823395,46.56745529,99.12778473
2016/12/13,64.60863495,72.18664551,70.57098389,46.89818192,98.45928955
2016/12/14,63.88164139,72.9942627,70.57098389,46.14487076,96.54412842
2016/12/15,63.90028,74.36916351,71.59307861,46.68689728,95.75817871
2016/12/16,63.8070755,73.68650818,70.75822449,47.35751343,97.53784943
2016/12/19,64.01213837,73.14810944,71.35119629,47.46775818,99.0555191
2016/12/20,63.74184418,73.51345062,71.56965637,47.65148926,100.28411870000001
2016/12/21,63.66727448,73.73459625,71.82713318,47.52287292,98.49541473
2016/12/22,63.76049042,72.87889099,70.57098389,47.75253677,98.03470612
2016/12/23,63.86301041,73.09040833,70.87526703,47.78011322,98.73934174
2016/12/27,63.56475449,73.71537018,70.9766922,47.72498703,99.03744507
2016/12/28,63.11737061,73.62884521,70.28229523,47.42181778,98.80078888
2016/12/29,63.14533615,74.03265381,70.23548126,47.623935700000004,100.53939059999999
2016/12/30,62.99621582,72.72507477,69.68152618,47.73417282,101.15836329999999
2017/1/3,63.25720215,74.01341248,70.32129669,47.9914093,100.6577377
2017/1/4,63.64864349,75.22486115,70.43052673,48.59772873,103.2064896
2017/1/5,63.66727448,75.04218292,70.40713501,48.70796204,102.8332901
2017/1/6,64.01213837,75.84980774,71.00790405,48.81820679,102.1414795
2017/1/9,63.19192505,75.03256226,70.83625793,48.13838959,101.0855713
2017/1/10,62.92164612,74.6576004,70.72701263,48.15676498,100.9035187
2017/1/11,62.85641098,74.40760803,71.44482422,48.21187973,99.77478027
2017/1/12,62.986892700000006,74.08072662,71.078125,48.30376053,99.50170135
2017/1/13,63.12670898,74.38838959,71.62427521,48.51504135,99.72014618
2017/1/17,63.04282379,75.66713715,70.92208099,48.29456329,100.6031113
2017/1/18,63.53679276,76.39785004,72.99745941,48.62528229,101.05823520000001
2017/1/19,62.86573029,76.09979248,72.27185822,48.38642883,100.0478668
2017/1/20,63.36902618,76.71513367,72.55274200000001,48.54260635,101.1765976
2017/1/23,63.284729000000006,76.98433685,72.13141632,48.45073318,103.2520065
2017/1/24,63.91231918,76.94587708,73.62944794,48.90088654,103.8800964
2017/1/25,64.31511688,76.80165863,74.69834137,49.41535187,103.2247009
2017/1/26,64.39941406,76.49399567,69.84536743,49.41535187,103.133667
2017/1/27,64.4930954,76.73435974,70.42274475,50.17783356,102.66943359999999
2017/1/30,64.0153656,76.53244781,71.10153198,49.488838200000004,102.09597020000001
2017/1/31,63.71559906,76.35939789,71.14833069,49.45209885,100.8761902
2017/2/1,63.14421844,75.97480774,69.80105591,49.09380722,98.56410217
2017/2/2,65.14879608,76.01327515,73.43611908,49.56232834,99.27412415
2017/2/3,66.05740356,76.34014893,75.15076447,49.61745071,100.71235659999999
2017/2/6,65.48600769,76.29208374,74.75884247,49.62664032,102.57841490000001
2017/2/7,65.35486603,74.3210907,76.08158112,49.54395294,103.07905579999999
2017/2/8,65.95438385,76.76319885,76.12077332,49.66339111,104.2623978
2017/2/9,66.11362457,77.63813019,76.83602142,50.26051712,104.6629257
2017/2/10,66.58197021,77.35931396,76.96340942,50.68310547,104.10766600000001
2017/2/13,66.95665741,77.79196167,77.18875122,51.03220367,104.0075302
2017/2/14,67.38755798,77.39777374,77.33570862,51.04139709,104.6629257
2017/2/15,68.03388977,78.27271271,78.54088593,51.28023911,104.8904953
2017/2/16,68.62402344,78.57073975,78.32531738,51.87738037,105.4275513
2017/2/17,68.86755371,78.88804626,78.87400818,52.30915451,105.93730159999998
2017/2/21,68.31491089,79.00340271,79.1385498,51.58341217,107.83976750000001
